dic 13 00:35:28|5[info]13/12/2014 00:35:28 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][is_ajax = 1][layout = grid][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:35:36|5[info]13/12/2014 00:35:36 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][reset = 1][is_ajax = 1][layout = thumb][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:35:40|5[info]13/12/2014 00:35:40 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = ProductInfo][id_giacenza = 28][breadcrumb1 = ][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:35:43|5[info]13/12/2014 00:35:43 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = ShoppingCart][id_content = 28][id_mag = 28][breadcrumb1 = -][breadcrumb2 = AZALEA INDICA VASO 24 ALBERELLO][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:35:46|5[info]13/12/2014 00:35:46 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:35:54|5[info]13/12/2014 00:35:54 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:35:55|5[info]13/12/2014 00:35:55 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = ShoppingCart][id_content = 28][id_mag = 28][breadcrumb1 = -][breadcrumb2 = AZALEA INDICA VASO 24 ALBERELLO][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:37:11|5[info]13/12/2014 00:37:11 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:37:14|5[info]13/12/2014 00:37:14 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:37:17|5[info]13/12/2014 00:37:17 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][is_ajax = 1][layout = grid][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:41:15|5[info]13/12/2014 00:41:15 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:41:18|5[info]13/12/2014 00:41:18 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][gm = 35][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:41:20|5[info]13/12/2014 00:41:20 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:41:24|5[info]13/12/2014 00:41:24 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:41:29|5[info]13/12/2014 00:41:29 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Contatti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:41:32|5[info]13/12/2014 00:41:32 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:41:32|5[info]13/12/2014 00:41:32 - [UTENTE = ][REMOTE IP = 66.249.67.96][act = Contatti][REQUEST METHOD = GET][USER AGENT = Mediapartners-Google]
dic 13 00:41:35|5[info]13/12/2014 00:41:35 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
