nov 30 10:22:47|5[info]30/11/2014 10:22:47 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 10:22:54|5[info]30/11/2014 10:22:54 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 16:08:30|5[info]30/11/2014 16:08:30 - [UTENTE = ][REMOTE IP = 79.30.194.18][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 16:08:32|5[info]30/11/2014 16:08:32 - [UTENTE = ][REMOTE IP = 79.30.194.18][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 16:08:36|5[info]30/11/2014 16:08:36 - [UTENTE = ][REMOTE IP = 79.30.194.18][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 16:08:40|5[info]30/11/2014 16:08:40 - [UTENTE = ][REMOTE IP = 79.30.194.18][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 22:20:07|5[info]30/11/2014 22:20:07 - [UTENTE = ][REMOTE IP = 79.30.194.18][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 22:20:09|5[info]30/11/2014 22:20:09 - [UTENTE = ][REMOTE IP = 79.30.194.18][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 22:20:15|5[info]30/11/2014 22:20:15 - [UTENTE = ][REMOTE IP = 79.30.194.18][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
nov 30 22:20:20|5[info]30/11/2014 22:20:20 - [UTENTE = ][REMOTE IP = 79.30.194.18][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:33.0) Gecko/20100101 Firefox/33.0]
