gen 04 11:47:14|5[info]04/01/2015 11:47:14 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:47:38|5[info]04/01/2015 11:47:38 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ProductInfo][id_giacenza = 34][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:47:41|5[info]04/01/2015 11:47:41 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:47:56|5[info]04/01/2015 11:47:56 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:05|5[info]04/01/2015 11:48:05 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:10|5[info]04/01/2015 11:48:10 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:13|5[info]04/01/2015 11:48:13 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:16|5[info]04/01/2015 11:48:16 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:19|5[info]04/01/2015 11:48:19 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:22|5[info]04/01/2015 11:48:22 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:26|5[info]04/01/2015 11:48:26 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:29|5[info]04/01/2015 11:48:29 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:34|5[info]04/01/2015 11:48:34 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:48:37|5[info]04/01/2015 11:48:37 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:50:00|5[info]04/01/2015 11:50:00 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:52:16|5[info]04/01/2015 11:52:16 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:52:32|5[info]04/01/2015 11:52:32 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:52:57|5[info]04/01/2015 11:52:57 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:53:09|5[info]04/01/2015 11:53:09 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:53:21|5[info]04/01/2015 11:53:21 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:53:42|5[info]04/01/2015 11:53:42 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 11:54:11|5[info]04/01/2015 11:54:11 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
