dic 31 01:05:39|5[info]31/12/2014 01:05:39 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:41|5[info]31/12/2014 01:05:41 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:59|5[info]31/12/2014 01:05:59 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:06:02|5[info]31/12/2014 01:06:02 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 16 confezioni o un multiplo di 8][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:06:14|5[info]31/12/2014 01:06:14 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:06:17|5[info]31/12/2014 01:06:17 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:06:54|5[info]31/12/2014 01:06:54 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:07:16|5[info]31/12/2014 01:07:16 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 16 confezioni o un multiplo di 8][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:07:34|5[info]31/12/2014 01:07:34 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:07:36|5[info]31/12/2014 01:07:36 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:07:47|5[info]31/12/2014 01:07:47 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:08:02|5[info]31/12/2014 01:08:02 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 16 confezioni o un multiplo di 8][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
