40003;Acaena ESTERNO;BUCHANANII;GIALLO CHIARO;ESTERNO;
40007;Acaena ESTERNO;MAGELLANICA;;ESTERNO;
40008;Acaena ESTERNO;MICROPHYLLA;;ESTERNO;
40010;Acaena ESTERNO;MICROPHYLLA KUPFERTEPPICH;BIANCO;ESTERNO;
9699;Acalypha VASO;HANG;;PIANTE;
9007;Acalypha VASO;HISPIDA;ROSSO;PIANTE;
28648;Acalypha VASO;MUSAICA;ROSA CHIARO;PIANTE;
9702;Acalypha VASO;STAM;;PIANTE;
40019;Acanthus ESTERNO;HUNGARICUS;VIOLA CHIARO;ESTERNO;
40020;Acanthus ESTERNO;MOLLIS;;ESTERNO;
40022;Acanthus ESTERNO;SPINOSUS;MARRONE SCURO;ESTERNO;
30031;Acer ESTERNO;BUERGERIANUM;;ESTERNO;
30033;Acer ESTERNO;CAMPESTRE;;ESTERNO;
30036;Acer ESTERNO;CAMPESTRE NANUM;;ESTERNO;
30043;Acer ESTERNO;CAPPADOCICUM;;ESTERNO;
30044;Acer ESTERNO;CAPPADOCICUM AUREUM;;ESTERNO;
30045;Acer ESTERNO;CAPPADOCICUM RUBRUM;;ESTERNO;
58724;Acer ESTERNO;CONSPICUUM RED FLAMINGO;;ESTERNO;
53080;Acer ESTERNO;CONSPICUUM SILVER CARDINAL;;ESTERNO;
30053;Acer ESTERNO;DAVIDII;;ESTERNO;
30063;Acer ESTERNO;GRISEUM;;ESTERNO;
30066;Acer ESTERNO;JAPONICUM;;ESTERNO;
30067;Acer ESTERNO;JAPONICUM ACONITIFOLIUM;;ESTERNO;
30078;Acer ESTERNO;NEGUNDO;;ESTERNO;
30080;Acer ESTERNO;NEGUNDO AUREOMARGINATUM;;ESTERNO;
49990;Acer ESTERNO;NEGUNDO AUREOVARIEGATUM;;ESTERNO;
30083;Acer ESTERNO;NEGUNDO FLAMINGO;;ESTERNO;
30084;Acer ESTERNO;NEGUNDO VARIEGATUM;;ESTERNO;
5012;Acer ESTERNO;OVERIG;;ESTERNO;
30090;Acer ESTERNO;PALMATUM;;ESTERNO;
318947;Acer ESTERNO;PALMATUM AMAGI SHIGURE;;ESTERNO;
47567;Acer ESTERNO;PALMATUM AOYAGI;;ESTERNO;
90069;Acer ESTERNO;PALMATUM ARIADNE;;ESTERNO;
47570;Acer ESTERNO;PALMATUM ASAHI-ZURU;;ESTERNO;
30092;Acer ESTERNO;PALMATUM ATROPURPUREUM;;ESTERNO;
30095;Acer ESTERNO;PALMATUM AUREUM;;ESTERNO;
58708;Acer ESTERNO;PALMATUM BENI-HIME;;ESTERNO;
30097;Acer ESTERNO;PALMATUM BENI-KAGAMI;;ESTERNO;
30098;Acer ESTERNO;PALMATUM BENI-KOMACHI;;ESTERNO;
47572;Acer ESTERNO;PALMATUM BENI-MAIKO;;ESTERNO;
47573;Acer ESTERNO;PALMATUM BENI-SCHICHI-HENGE;;ESTERNO;
30099;Acer ESTERNO;PALMATUM BLOODGOOD;;ESTERNO;
30100;Acer ESTERNO;PALMATUM BURGUNDY LACE;;ESTERNO;
30101;Acer ESTERNO;PALMATUM BUTTERFLY;;ESTERNO;
30102;Acer ESTERNO;PALMATUM CHITOSEYAMA;;ESTERNO;
30104;Acer ESTERNO;PALMATUM CRIMSON QUEEN;;ESTERNO;
30105;Acer ESTERNO;PALMATUM DESHOJO;;ESTERNO;
30106;Acer ESTERNO;PALMATUM DISSECTUM;;ESTERNO;
30107;Acer ESTERNO;PALMATUM DISSECTUM FLAVESCENS;;ESTERNO;
30112;Acer ESTERNO;PALMATUM DISSECTUM RUBRUM;;ESTERNO;
58709;Acer ESTERNO;PALMATUM EMERALD LACE;;ESTERNO;
57789;Acer ESTERNO;PALMATUM ENKAN;;ESTERNO;
318685;Acer ESTERNO;PALMATUM FIRECRACKER;;ESTERNO;
30116;Acer ESTERNO;PALMATUM FIREGLOW;;ESTERNO;
30108;Acer ESTERNO;PALMATUM GARNET;;ESTERNO;
47580;Acer ESTERNO;PALMATUM GOSHIKI-KOTOHIME;;ESTERNO;
59969;Acer ESTERNO;PALMATUM GREEN GLOBE;;ESTERNO;
30121;Acer ESTERNO;PALMATUM INABA-SHIDARE;;ESTERNO;
58343;Acer ESTERNO;PALMATUM JERRE SCHWARTZ;;ESTERNO;
47597;Acer ESTERNO;PALMATUM KATSURA;;ESTERNO;
47605;Acer ESTERNO;PALMATUM KOTOHIME;;ESTERNO;
47604;Acer ESTERNO;PALMATUM KOTO-NO-ITO;;ESTERNO;
30125;Acer ESTERNO;PALMATUM LINEARILOBUM;;ESTERNO;
57484;Acer ESTERNO;PALMATUM LITTLE PRINCESS;;ESTERNO;
317765;Acer ESTERNO;PALMATUM MARLO;;ESTERNO;
47624;Acer ESTERNO;PALMATUM OKUSHIMO;;ESTERNO;
52913;Acer ESTERNO;PALMATUM ORANGE DREAM;;ESTERNO;
30132;Acer ESTERNO;PALMATUM ORNATUM;;ESTERNO;
30133;Acer ESTERNO;PALMATUM OSAKAZUKI;;ESTERNO;
58331;Acer ESTERNO;PALMATUM PEVE MULTICOLOR;;ESTERNO;
317753;Acer ESTERNO;PALMATUM PEV  DAVE;;ESTERNO;
58710;Acer ESTERNO;PALMATUM PHOENIX;;ESTERNO;
59062;Acer ESTERNO;PALMATUM PIXIE;;ESTERNO;
58333;Acer ESTERNO;PALMATUM RED EMPEROR;;ESTERNO;
30135;Acer ESTERNO;PALMATUM RED PYGMY;;ESTERNO;
318948;Acer ESTERNO;PALMATUM REDWINE;;ESTERNO;
318209;Acer ESTERNO;PALMATUM RYUSEN;;ESTERNO;
30138;Acer ESTERNO;PALMATUM SANGOKAKU;;ESTERNO;
47638;Acer ESTERNO;PALMATUM SAZANAMI;;ESTERNO;
30139;Acer ESTERNO;PALMATUM SEIRYU;;ESTERNO;
57485;Acer ESTERNO;PALMATUM SHAINA;;ESTERNO;
318349;Acer ESTERNO;PALMATUM SHIRAZZ;;ESTERNO;
30142;Acer ESTERNO;PALMATUM SHISHIGASHIRA;;ESTERNO;
58334;Acer ESTERNO;PALMATUM SKEETERS BROOM;;ESTERNO;
30147;Acer ESTERNO;PALMATUM SUMI-NAGASHI;;ESTERNO;
58711;Acer ESTERNO;PALMATUM SUMMER GOLD;;ESTERNO;
47646;Acer ESTERNO;PALMATUM TAMUKEYAMA;;ESTERNO;
58712;Acer ESTERNO;PALMATUM TAYLOR;;ESTERNO;
30149;Acer ESTERNO;PALMATUM TROMPENBURG;;ESTERNO;
47654;Acer ESTERNO;PALMATUM TSUMA-GAKI;;ESTERNO;
47655;Acer ESTERNO;PALMATUM UKIGUMO;;ESTERNO;
90105;Acer ESTERNO;PALMATUM WILSONS PINK DWARF;;ESTERNO;
58335;Acer ESTERNO;PALMATUM WINTER FLAME;;ESTERNO;
47660;Acer ESTERNO;PALMATUM YASEMIN;;ESTERNO;
30153;Acer ESTERNO;PENSYLVANICUM;;ESTERNO;
