Dec 03 09:59:11|5[info]03/12/2014 09:59:11 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 09:59:17|5[info]03/12/2014 09:59:17 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 09:59:22|5[info]03/12/2014 09:59:22 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:30:08|5[info]03/12/2014 15:30:08 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:30:14|5[info]03/12/2014 15:30:14 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:30:18|5[info]03/12/2014 15:30:18 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:30:31|5[info]03/12/2014 15:30:31 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaMagazzino][id_content = 19][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:30:41|5[info]03/12/2014 15:30:41 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:30:53|5[info]03/12/2014 15:30:53 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaMagazzino][id_content = 19][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:31:05|5[info]03/12/2014 15:31:05 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaMagazzino][id_giacenza = 19][id_content = 19][codice = 42001][vbn = ][nome = DECO TNT ROSSO SCURO][descrizione = <p>Rotolo da 50m - h. 50cm</p>
][nome_en = ][descrizione_en = ][prezzo = 8.90][prezzo_acquisto = 5.00][in_home = on][stato = novita][qta_minima = 1][qta_pianale = 80][qta_carrello = 400][qta_min_ordine = 1][id_produttore = ][id_fornitore = 400][id_categoria = 17][iva = 22][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:31:33|5[info]03/12/2014 15:31:33 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = CaricaMagazzino][id_giacenza = 19][id_content = 19][codice = 42001][vbn = ][nome = DECO TNT ROSSO SCURO][descrizione = <p>Rotolo da 50m - h. 50cm</p>
][nome_en = ][descrizione_en = ][prezzo = 8.90][prezzo_acquisto = 5.00][visibile = on][in_home = on][stato = novita][qta_minima = 1][qta_pianale = 80][qta_carrello = 400][qta_min_ordine = 1][id_produttore = ][id_fornitore = 400][id_categoria = 17][iva = 22][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:32:01|5[info]03/12/2014 15:32:01 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:32:18|5[info]03/12/2014 15:32:18 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:32:21|5[info]03/12/2014 15:32:21 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:32:26|5[info]03/12/2014 15:32:26 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:32:52|5[info]03/12/2014 15:32:52 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:33:12|5[info]03/12/2014 15:33:12 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:33:30|5[info]03/12/2014 15:33:30 - [UTENTE = paolo][REMOTE IP = 95.225.163.88][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
Dec 03 15:38:31|5[info]03/12/2014 15:38:31 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0]
